flat_name,slug,issue_type,excel_value,db_value,details
K01A104,k01a104,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K01A104,k01a104,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K01A104,k01a104,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K01A104,k01a104,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K01B102,k01b102,AVAILABLE_DATE_MISMATCH,2025-09-05,2025-09-25,"Excel: 2025-09-05, DB: 2025-09-25"
K01B102,k01b102,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K01C304,k01c304,AVAILABLE_DATE_MISMATCH,2025-09-11,2025-09-16,"Excel: 2025-09-11, DB: 2025-09-16"
K01C304,k01c304,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K03A105,k03a105,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K03A105,k03a105,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K03A105,k03a105,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
K03A105,k03a105,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K04A005,k04a005,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K04A302,k04a302,AVAILABLE_DATE_MISSING_IN_DB,2025-10-23,NULL,"Excel has date 2025-10-23, but DB is NULL"
K04A302,k04a302,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K04A302,k04a302,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K04A302,k04a302,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
